"","S001","S002","S003","S004","S005","S006","S007","S008","S009","S010","S011","S012","S013","S014","S015","S016","S017","S018","S019","S020","S021","S022","S023","S024","S025","S026","S027","S028","S029","S030","S031","S032","S033","S034","S035"
"S022",0.257432790471812,0.283285098134229,0.255113008477746,0.281296256075964,0.279040177576125,0.270507425261645,0.293974262209173,0.0943439984744619,0.309590086705779,0.286274323805676,0.261999549314317,0.259723437097922,0.294654780057243,0.273017115589998,0.258560136162801,0.269095393877988,0.265922815043305,0.294908156968451,0.277979595554865,0.245888626824256,0.266087310932975,0,0.287645466210944,0.26203564895967,0.257047623898402,0.25145317008316,0.326378730817129,0.25812361800314,0.261563226176221,0.335745974054657,0.305626142122977,0.261645284776967,0.244654408649917,0.268469678346461,0.278004766546013
"S023",0.293188823763788,0.121466207201267,0.280171617054884,0.0313695148364501,0.21841549277188,0.234380977498973,0.169843987948536,0.284861369946104,0.338874111019431,0.0457265895014834,0.291741916950738,0.287815721821543,0.177113228051285,0.29823507936928,0.290334978627214,0.157976510751012,0.18458449583421,0.198572311557455,0.281236638151103,0.279453453286803,0.282906089337559,0.287645466210944,0,0.290769426118999,0.299395015885897,0.283166331278214,0.370946227001891,0.279937228762303,0.291159566940078,0.35877414542229,0.310305057482284,0.258651109734033,0.286375275289029,0.224988250337828,0.172619422899796
"S024",0.163388937807124,0.26997620858805,0.116303712354677,0.291697221360588,0.273730310180529,0.25762066924881,0.279031322307737,0.250177210237181,0.351491935846636,0.292472986923177,0.118744604022281,0.146762669639805,0.297281518883743,0.164991249991685,0.1147479023425,0.286327742937414,0.289185992891165,0.299193743599743,0.263136159052824,0.12328634825836,0.219297690862114,0.26203564895967,0.290769426118999,0,0.182908181327756,0.172633448542029,0.338422606603606,0.112939742114368,0.0777540353045865,0.34650626686935,0.301387303190472,0.225585089681678,0.270821819198578,0.246175878779199,0.256524564848772
"S025",0.172595577514344,0.283880993609295,0.149545273856757,0.292232892249252,0.294709362468128,0.270830329909897,0.289254860166292,0.255672116506126,0.348162124634883,0.286763465921178,0.158952781518165,0.152727748487058,0.278340172750504,0.173519832493359,0.15356133371289,0.302667102163611,0.296046295483756,0.313559389378758,0.267843840760633,0.140609664849919,0.218414701715781,0.257047623898402,0.299395015885897,0.182908181327756,0,0.139664957939573,0.332000827923878,0.150777604756591,0.188327996286391,0.350681678199417,0.293547880015281,0.205303285150702,0.29936447046062,0.264285795014289,0.267204765279705
"S026",0.140592368479984,0.245341628240483,0.124820287358915,0.287920337005743,0.264408443812941,0.254004033688908,0.248537651896904,0.249422691449189,0.31333956140301,0.270342764148186,0.144152512248719,0.145513240715809,0.248472708662601,0.156482434085175,0.140905920523715,0.272838532890455,0.254917874157992,0.275475774084019,0.258477808400693,0.125777291518109,0.209945288233181,0.25145317008316,0.283166331278214,0.172633448542029,0.139664957939573,0,0.312259030323155,0.125806276266385,0.17203465553573,0.323515259705397,0.26274965106205,0.203543134451982,0.267078476329169,0.238410961408981,0.245569114472946
"S027",0.352261948846849,0.345273675033805,0.327013949790293,0.363340638596342,0.343709274696276,0.296693320854789,0.361758781258872,0.338416713533364,0.257921828314015,0.34764371043383,0.328316056212421,0.343410079989841,0.356731584396965,0.327443791396067,0.328645110629884,0.375356927040164,0.323215921729132,0.364747907096626,0.341344280492545,0.328071788482385,0.344313303774207,0.326378730817129,0.370946227001891,0.338422606603606,0.332000827923878,0.312259030323155,0,0.326727781414513,0.336468072098666,0.249873135323909,0.331379784812571,0.302622800934765,0.358843506669478,0.336625134705045,0.347956858253731
"S028",0.117272439679969,0.254974682935688,0,0.285207676440795,0.265212208205379,0.256723920786819,0.254457739224655,0.238939063982594,0.341952855714535,0.279262176939594,0.0940466299153093,0.0843804589657364,0.268669944801249,0.154841184908605,0.0888927735527631,0.272560188436988,0.277720561105671,0.289229840410396,0.255759726027779,0.0713617088674958,0.202712128211877,0.25812361800314,0.279937228762303,0.112939742114368,0.150777604756591,0.125806276266385,0.326727781414513,0,0.121081205988585,0.329262854923496,0.298622950164123,0.223342178776675,0.271331929691209,0.239216706890715,0.242991116823214
"S029",0.160744287695,0.268699432479486,0.121170389629053,0.294177226303647,0.27647581280289,0.254784547172675,0.274128580291196,0.253672401446966,0.354943180290728,0.275400900727933,0.117140245722624,0.147268225611265,0.28155766006727,0.154636737376162,0.10792429628965,0.268578645005991,0.280801176850762,0.299345068565057,0.266293920552558,0.132503747630116,0.197236748524713,0.261563226176221,0.291159566940078,0.0777540353045865,0.188327996286391,0.17203465553573,0.336468072098666,0.121081205988585,0,0.351896031907094,0.311388676761811,0.214555987034232,0.276379592320167,0.251474488430233,0.252914248963886
"S030",0.338546227151564,0.335544169858668,0.329549874891952,0.356526159869669,0.354930427461949,0.339195188697474,0.346030568457959,0.334408387576492,0.112149054590722,0.34371032050756,0.340748281061127,0.336903974412249,0.351035593240168,0.336084493325618,0.336253791193913,0.340601993033894,0.31028054130689,0.341107245028556,0.322621710475543,0.340082785559017,0.337447145718472,0.335745974054657,0.35877414542229,0.34650626686935,0.350681678199417,0.323515259705397,0.249873135323909,0.329262854923496,0.351896031907094,0,0.334403135734736,0.317889414991013,0.33226465808876,0.323666249614872,0.318210496752249
"S031",0.28877517424985,0.303089753471803,0.293827272447462,0.298577345667946,0.326369138426302,0.303625192401479,0.312688040065771,0.312241717068345,0.342813996720323,0.306400443472612,0.305496846049062,0.288303266917545,0.309554958468454,0.303288505284582,0.297044318649686,0.325856202062379,0.311108368758821,0.325298370490056,0.361650506968279,0.293712409998574,0.296567555674979,0.305626142122977,0.310305057482284,0.301387303190472,0.293547880015281,0.26274965106205,0.331379784812571,0.298622950164123,0.311388676761811,0.334403135734736,0,0.281493824247499,0.309221238683164,0.303514405725942,0.302215326759922
